Day of sim.,Day of year,Year,Slurry mass,Frozen mass,Slurry depth,Air T,Wall T,Floor T,In T,Slurry T
,,,(Mg = 1000 kg),(Mg = 1000 kg),(m),(deg. C),(deg. C),(deg. C),(deg. C),(deg. C)
day,doy,year,slurry_mass,frozen_mass,slurry_depth,air_temp,wall_temp,floor_temp,in_temp,slurry_temp
 361,361,   1,  110.00,    0.00,    3.89,   -4.76,   -2.73,   -2.66,    4.32,    4.26
 362,362,   1,  110.00,    0.00,    3.89,   -4.80,   -2.78,   -2.71,    4.20,    4.13
 363,363,   1,  110.00,    0.00,    3.89,   -4.83,   -2.81,   -2.75,    4.07,    4.00
 364,364,   1,  110.00,    0.00,    3.89,   -4.87,   -2.85,   -2.79,    3.94,    3.88
 365,365,   1,  110.00,    0.00,    3.89,   -4.90,   -2.88,   -2.83,    3.82,    3.76
 366,  1,   2,  110.00,    0.00,    3.89,   -4.92,   -2.91,   -2.86,    3.70,    3.64
 367,  2,   2,  110.00,    0.00,    3.89,   -4.94,   -2.93,   -2.89,    3.58,    3.52
 368,  3,   2,  110.00,    0.00,    3.89,   -4.96,   -2.95,   -2.92,    3.46,    3.40
 369,  4,   2,  110.00,    0.00,    3.89,   -4.98,   -2.97,   -2.94,    3.34,    3.28
 370,  5,   2,  110.00,    0.00,    3.89,   -4.99,   -2.98,   -2.96,    3.22,    3.16
 371,  6,   2,  110.00,    0.00,    3.89,   -5.00,   -2.99,   -2.97,    3.11,    3.05
 372,  7,   2,  110.00,    0.00,    3.89,   -5.00,   -3.00,   -2.98,    3.00,    2.94
 373,  8,   2,  110.00,    0.00,    3.89,   -5.00,   -3.00,   -2.99,    2.88,    2.83
 374,  9,   2,  110.00,    0.00,    3.89,   -5.00,   -3.00,   -3.00,    2.77,    2.72
 375, 10,   2,  110.00,    0.00,    3.89,   -4.99,   -2.99,   -3.00,    2.66,    2.61
 376, 11,   2,  110.00,    0.00,    3.89,   -4.98,   -2.98,   -2.99,    2.56,    2.50
 377, 12,   2,  110.00,    0.00,    3.89,   -4.96,   -2.97,   -2.98,    2.45,    2.40
 378, 13,   2,  110.00,    0.00,    3.89,   -4.94,   -2.95,   -2.97,    2.35,    2.30
 379, 14,   2,  110.00,    0.00,    3.89,   -4.92,   -2.93,   -2.96,    2.25,    2.19
 380, 15,   2,  110.00,    0.00,    3.89,   -4.90,   -2.91,   -2.94,    2.15,    2.10
 381, 16,   2,  110.00,    0.00,    3.89,   -4.87,   -2.88,   -2.92,    2.05,    2.00
 382, 17,   2,  110.00,    0.00,    3.89,   -4.83,   -2.85,   -2.89,    1.95,    1.90
